Row_no	Genome	Length	N_contigs	N50	GC_content	Completeness	Contamination	Genome_accession	Species_rep	Lineage	Sample_accession	Study_accession	Country	Continent	Animal	Isolation_source	City	CheckM_quality	GUNC_pass	Species
109	MGYG000019879	3035210	266	16393	57.59	92.73	3.87	GUT_GENOME090880	MGYG000002993	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__CAG-170;s__CAG-170_sp000432135	ERS631834	ERP008729	Austria	Europe	Human	gut	NA	High	yes	sp000432135
110	MGYG000019978	2777044	281	16106	58.25	91.52	1.65	GUT_GENOME274096	MGYG000002993	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__CAG-170;s__CAG-170_sp000432135	ERS972108	ERP012929	Israel	Asia	Human	gut	NA	High	yes	sp000432135
115	MGYG000021210	2162097	194	16111	61.68	91.95	0.67	GUT_GENOME093659	MGYG000000651	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__CAG-170;s__CAG-170_sp002404795	ERS608493	ERP008729	Austria	Europe	Human	gut	NA	High	yes	sp002404795
118	MGYG000021794	2376725	112	31709	58.91	92.62	2.3	GUT_GENOME286558	MGYG000002993	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__CAG-170;s__CAG-170_sp000432135	ERS436803	ERP005534	Germany	Europe	Human	gut	NA	High	yes	sp000432135
120	MGYG000022267	3153150	142	33450	55.76	91.34	1.34	GUT_GENOME179447	MGYG000000370	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__CAG-170;s__CAG-170_sp900545925	SRS1465274	SRP075633	USA	North America	Human	gut	NA	High	yes	sp900545925
122	MGYG000022763	2254070	77	52841	59.19	94.07	2.68	GUT_GENOME127599	MGYG000000741	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__CAG-170;s__CAG-170_sp900548625	SRS1596794	SRP080787	Mongolia	Asia	Human	gut	NA	High	yes	sp900548625
129	MGYG000023721	2329330	285	11079	61.41	93.97	4.81	GUT_GENOME020515	MGYG000000651	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__CAG-170;s__CAG-170_sp002404795	ERS1444681	ERP019502	Germany	Europe	Human	gut	NA	High	yes	sp002404795
131	MGYG000024144	2219010	147	21839	57.44	93.9	2.01	GUT_GENOME124949	MGYG000002710	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__CAG-170;s__CAG-170_sp900549635	ERS1138752	ERP015450	China	Asia	Human	gut	NA	High	yes	sp900549635
134	MGYG000024829	2182883	227	15585	61.75	90.13	3.77	GUT_GENOME066695	MGYG000000651	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__CAG-170;s__CAG-170_sp002404795	ERS235530	ERP002469	Sweden	Europe	Human	gut	NA	High	yes	sp002404795
142	MGYG000027070	2625425	327	11424	58.27	90.08	1.51	GUT_GENOME101943	MGYG000002993	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__CAG-170;s__CAG-170_sp000432135	SRS020869	SRP002163	USA	North America	Human	gut	NA	High	yes	sp000432135
146	MGYG000027533	2779537	297	13741	58.25	91.11	1.74	GUT_GENOME132225	MGYG000002993	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__CAG-170;s__CAG-170_sp000432135	ERS199002	ERP002061	Denmark	Europe	Human	gut	NA	High	yes	sp000432135
147	MGYG000027683	2438778	82	44788	60.74	90.6	0	GUT_GENOME160839	MGYG000000651	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__CAG-170;s__CAG-170_sp002404795	SRS1876313	SRP095580	Netherlands	Europe	Human	gut	NA	High	yes	sp002404795
150	MGYG000028046	2513308	139	28102	58.72	91.41	3.02	GUT_GENOME170399	MGYG000002993	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__CAG-170;s__CAG-170_sp000432135	SRS820604	SRP052307	USA	North America	Human	gut	NA	High	yes	sp000432135
152	MGYG000029408	2876298	63	83165	57.54	93.29	2.01	GUT_GENOME094512	MGYG000002993	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__CAG-170;s__CAG-170_sp000432135	ERS608610	ERP008729	Austria	Europe	Human	gut	NA	High	yes	sp000432135
153	MGYG000029453	2394672	121	33227	58.64	90.6	4.87	GUT_GENOME029106	MGYG000002993	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__CAG-170;s__CAG-170_sp000432135	ERS006492	ERP000108	Spain	Europe	Human	gut	NA	High	yes	sp000432135
155	MGYG000030638	2389589	110	45471	58.92	92.59	2.01	GUT_GENOME139581	MGYG000002993	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__CAG-170;s__CAG-170_sp000432135	SRS820604	SRP052307	USA	North America	Human	gut	NA	High	yes	sp000432135
166	MGYG000034621	2186652	84	50101	56.9	92.44	2.68	GUT_GENOME260813	MGYG000002710	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__CAG-170;s__CAG-170_sp900549635	ERS746931	ERP010700	UK	Europe	Human	gut	NA	High	yes	sp900549635
167	MGYG000034682	2389256	163	21754	61.12	91.57	1.68	GUT_GENOME165519	MGYG000000651	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__CAG-170;s__CAG-170_sp002404795	SRS576034	SRP040146	USA	North America	Human	gut	NA	High	yes	sp002404795
168	MGYG000034713	2465958	314	10730	58.93	90.9	1.9	GUT_GENOME156240	MGYG000002993	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__CAG-170;s__CAG-170_sp000432135	ERS475336	ERP005860	China	Asia	Human	gut	NA	High	yes	sp000432135
170	MGYG000035140	2367721	177	19394	61.02	92.17	4.53	GUT_GENOME165943	MGYG000000651	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__CAG-170;s__CAG-170_sp002404795	SRS576042	SRP040146	USA	North America	Human	gut	NA	High	yes	sp002404795
176	MGYG000037121	2150469	143	21831	59.21	90.6	3.49	GUT_GENOME208603	MGYG000002993	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__CAG-170;s__CAG-170_sp000432135	SRS1905975	SRP096283	USA	North America	Human	gut	NA	High	yes	sp000432135
177	MGYG000037184	2279158	212	14482	61.55	90.18	4.03	GUT_GENOME048291	MGYG000000651	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__CAG-170;s__CAG-170_sp002404795	ERS1647312	ERP019674	Germany	Europe	Human	gut	NA	High	yes	sp002404795
178	MGYG000037187	2499896	98	51206	58.38	90.6	1.34	GUT_GENOME266185	MGYG000002993	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__CAG-170;s__CAG-170_sp000432135	ERS971777	ERP012929	Israel	Asia	Human	gut	NA	High	yes	sp000432135
180	MGYG000038025	2108984	158	19913	59.9	90.57	4.21	GUT_GENOME125255	MGYG000004248	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__CAG-170;s__CAG-170_sp000436735	ERS1138748	ERP015450	China	Asia	Human	gut	NA	High	yes	sp000436735
181	MGYG000038172	2485622	154	28112	61.22	91.99	2.32	GUT_GENOME129521	MGYG000000651	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__CAG-170;s__CAG-170_sp002404795	SRS1596869	SRP080787	Mongolia	Asia	Human	gut	NA	High	yes	sp002404795
182	MGYG000038211	2166508	96	34142	57.22	92.39	2.18	GUT_GENOME033126	MGYG000002710	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__CAG-170;s__CAG-170_sp900549635	ERS1015694	ERP013562	China	Asia	Human	gut	NA	High	yes	sp900549635
185	MGYG000038835	3072177	262	16901	56	91.95	2.35	GUT_GENOME062451	MGYG000000370	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__CAG-170;s__CAG-170_sp900545925	ERS473378	ERP005989	Denmark	Europe	Human	gut	NA	High	yes	sp900545925
190	MGYG000040595	2625392	68	61520	58.31	93.29	1.34	GUT_GENOME010387	MGYG000002993	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__CAG-170;s__CAG-170_sp000432135	ERS554251	ERP007090	Sweden	Europe	Human	gut	NA	High	yes	sp000432135
192	MGYG000041010	2679321	86	60140	58.35	92.62	3.36	GUT_GENOME097153	MGYG000002993	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__CAG-170;s__CAG-170_sp000432135	SRS585059	SRP040765	USA	North America	Human	gut	NA	High	yes	sp000432135
193	MGYG000041455	2922571	129	43033	57.9	93.96	4.81	GUT_GENOME082674	MGYG000002993	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__CAG-170;s__CAG-170_sp000432135	ERS537258	ERP006678	China	Asia	Human	gut	NA	High	yes	sp000432135
195	MGYG000041819	2755806	249	19085	58.78	90.61	4.42	GUT_GENOME125192	MGYG000002993	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__CAG-170;s__CAG-170_sp000432135	ERS1138757	ERP015450	China	Asia	Human	gut	NA	High	yes	sp000432135
197	MGYG000042193	2457038	136	27210	60.61	91.95	2.24	GUT_GENOME107334	MGYG000000651	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__CAG-170;s__CAG-170_sp002404795	SRS871171	SRP056054	Finland	Europe	Human	gut	NA	High	yes	sp002404795
198	MGYG000042239	2612952	309	12956	58.62	92.34	2.01	GUT_GENOME274041	MGYG000002993	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__CAG-170;s__CAG-170_sp000432135	ERS972107	ERP012929	Israel	Asia	Human	gut	NA	High	yes	sp000432135
205	MGYG000044698	2784114	304	15092	56.31	90.41	2.15	GUT_GENOME110941	MGYG000000370	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__CAG-170;s__CAG-170_sp900545925	ERS328906	ERP003612	Denmark	Europe	Human	gut	NA	High	yes	sp900545925
206	MGYG000044852	2826148	82	57189	60.03	94.63	3.36	GUT_GENOME252385	MGYG000000651	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__CAG-170;s__CAG-170_sp002404795	ERS746887	ERP010700	UK	Europe	Human	gut	NA	High	yes	sp002404795
207	MGYG000044973	3100725	164	35859	57.17	93.96	1.68	GUT_GENOME276853	MGYG000002993	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__CAG-170;s__CAG-170_sp000432135	ERS972254	ERP012929	Israel	Asia	Human	gut	NA	High	yes	sp000432135
208	MGYG000045267	2144625	61	53422	59.51	90.77	2.68	GUT_GENOME025321	MGYG000004248	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__CAG-170;s__CAG-170_sp000436735	ERS1444576	ERP019502	Kazakhstan	Asia	Human	gut	NA	High	yes	sp000436735
209	MGYG000045388	3157374	57	113587	55.56	93.96	1.01	GUT_GENOME047660	MGYG000000370	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__CAG-170;s__CAG-170_sp900545925	ERS1647289	ERP019674	Germany	Europe	Human	gut	NA	High	yes	sp900545925
210	MGYG000045438	2924896	241	17133	57.89	91.66	4.03	GUT_GENOME214921	MGYG000002993	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__CAG-170;s__CAG-170_sp000432135	SRS020869	SRP002163	USA	North America	Human	gut	NA	High	yes	sp000432135
211	MGYG000045561	2463716	142	24854	58.68	92.04	3.71	GUT_GENOME048549	MGYG000002993	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__CAG-170;s__CAG-170_sp000432135	ERS1647300	ERP019674	Germany	Europe	Human	gut	NA	High	yes	sp000432135
221	MGYG000049331	2515518	129	28321	60.67	93.96	1.68	GUT_GENOME205463	MGYG000000651	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__CAG-170;s__CAG-170_sp002404795	SRS1996016	SRP100518	Spain	Europe	Human	gut	NA	High	yes	sp002404795
226	MGYG000050929	2226088	331	11203	59.74	91.65	3.52	GUT_GENOME083048	MGYG000002993	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__CAG-170;s__CAG-170_sp000432135	ERS537273	ERP006678	China	Asia	Human	gut	NA	High	yes	sp000432135
231	MGYG000052021	2552444	86	52713	58.39	94.63	1.68	GUT_GENOME209141	MGYG000002993	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__CAG-170;s__CAG-170_sp000432135	SRS1914279	SRP096283	USA	North America	Human	gut	NA	High	yes	sp000432135
234	MGYG000052750	2997571	304	15121	57.68	90.08	2.01	GUT_GENOME260220	MGYG000002993	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__CAG-170;s__CAG-170_sp000432135	ERS746956	ERP010700	UK	Europe	Human	gut	NA	High	yes	sp000432135
239	MGYG000054029	2563428	68	57101	58.42	92.37	1.68	GUT_GENOME281975	MGYG000002993	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__CAG-170;s__CAG-170_sp000432135	ERS436722	ERP005534	France	Europe	Human	gut	NA	High	yes	sp000432135
240	MGYG000054085	2949138	293	15676	57.76	90.25	4.11	GUT_GENOME179062	MGYG000002993	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__CAG-170;s__CAG-170_sp000432135	SRS1465228	SRP075633	USA	North America	Human	gut	NA	High	yes	sp000432135
241	MGYG000054187	1936397	118	29044	57.55	91.31	4.36	GUT_GENOME157979	MGYG000000369	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__CAG-170;s__CAG-170_sp003516765	ERS634968	ERP009131	Canada	North America	Human	gut	NA	High	yes	sp003516765
242	MGYG000054313	2022224	252	11194	61.92	91.95	1.03	GUT_GENOME116080	MGYG000000651	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__CAG-170;s__CAG-170_sp002404795	ERS396334	ERP004605	Denmark	Europe	Human	gut	NA	High	yes	sp002404795
244	MGYG000055176	2376767	205	16689	61	91.95	3.69	GUT_GENOME270789	MGYG000000651	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__CAG-170;s__CAG-170_sp002404795	ERS971965	ERP012929	Israel	Asia	Human	gut	NA	High	yes	sp002404795
248	MGYG000056213	2556722	189	21249	60.72	92.3	2.53	GUT_GENOME165824	MGYG000000651	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__CAG-170;s__CAG-170_sp002404795	SRS576034	SRP040146	USA	North America	Human	gut	NA	High	yes	sp002404795
249	MGYG000056238	2384902	372	9490	59.23	93.29	2.96	GUT_GENOME219649	MGYG000002993	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__CAG-170;s__CAG-170_sp000432135	SRS148196	SRP002163	USA	North America	Human	gut	NA	High	yes	sp000432135
251	MGYG000056815	2280766	298	12105	59.43	93.23	3.38	GUT_GENOME070870	MGYG000004248	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__CAG-170;s__CAG-170_sp000436735	ERS396372	ERP004605	Denmark	Europe	Human	gut	NA	High	yes	sp000436735
253	MGYG000057126	2044235	112	36525	59.51	91.28	2.68	GUT_GENOME263993	MGYG000004248	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__CAG-170;s__CAG-170_sp000436735	-	-	China	Asia	Human	gut	NA	High	yes	sp000436735
254	MGYG000057301	2570780	284	13736	58.89	91.95	2.57	GUT_GENOME209487	MGYG000002993	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__CAG-170;s__CAG-170_sp000432135	SRS1905873	SRP096283	USA	North America	Human	gut	NA	High	yes	sp000432135
256	MGYG000058391	2505082	224	17262	58.8	91.34	4.36	GUT_GENOME128568	MGYG000002993	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__CAG-170;s__CAG-170_sp000432135	SRS1596829	SRP080787	Mongolia	Asia	Human	gut	NA	High	yes	sp000432135
257	MGYG000058469	2639844	159	27720	58.62	93.62	1.85	GUT_GENOME217822	MGYG000002993	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__CAG-170;s__CAG-170_sp000432135	SRS104311	SRP002163	USA	North America	Human	gut	NA	High	yes	sp000432135
259	MGYG000058895	3254551	83	78799	57.53	93.29	1.01	GUT_GENOME252013	MGYG000002993	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__CAG-170;s__CAG-170_sp000432135	ERS746723	ERP010700	UK	Europe	Human	gut	NA	High	yes	sp000432135
260	MGYG000058949	2654743	36	129191	58.27	92.28	1.34	GUT_GENOME023657	MGYG000002993	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__CAG-170;s__CAG-170_sp000432135	ERS1444520	ERP019502	Kazakhstan	Asia	Human	gut	NA	High	yes	sp000432135
262	MGYG000059665	2295819	169	19443	61.22	93.96	1.44	GUT_GENOME164972	MGYG000000651	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__CAG-170;s__CAG-170_sp002404795	SRS576034	SRP040146	USA	North America	Human	gut	NA	High	yes	sp002404795
263	MGYG000059927	2086919	204	17256	61.84	91	2.93	GUT_GENOME253377	MGYG000000651	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__CAG-170;s__CAG-170_sp002404795	ERS746744	ERP010700	UK	Europe	Human	gut	NA	High	yes	sp002404795
265	MGYG000060434	2337794	190	18451	59.27	91.89	4.47	GUT_GENOME257255	MGYG000002034	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__CAG-170;s__CAG-170_sp900553545	ERS746864	ERP010700	UK	Europe	Human	gut	NA	High	yes	sp900553545
266	MGYG000060526	2452380	208	24133	59.06	91.28	1.01	GUT_GENOME067947	MGYG000002993	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__CAG-170;s__CAG-170_sp000432135	ERS235590	ERP002469	Sweden	Europe	Human	gut	NA	High	yes	sp000432135
268	MGYG000060893	2882273	355	10878	57.88	90.1	2.68	GUT_GENOME137347	MGYG000002993	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__CAG-170;s__CAG-170_sp000432135	ERS199324	ERP002061	Spain	Europe	Human	gut	NA	High	yes	sp000432135
275	MGYG000062228	2517525	268	13388	60.68	90.21	2.01	GUT_GENOME274295	MGYG000000651	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__CAG-170;s__CAG-170_sp002404795	ERS972117	ERP012929	Israel	Asia	Human	gut	NA	High	yes	sp002404795
276	MGYG000062448	2532670	96	37127	58.48	95.3	1.68	GUT_GENOME203557	MGYG000002993	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__CAG-170;s__CAG-170_sp000432135	SRS1996016	SRP100518	Spain	Europe	Human	gut	NA	High	yes	sp000432135
283	MGYG000064031	2578821	110	37689	58.53	92.32	2.07	GUT_GENOME044688	MGYG000002993	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__CAG-170;s__CAG-170_sp000432135	ERS1289687	ERP016813	China	Asia	Human	gut	NA	High	yes	sp000432135
284	MGYG000064042	2919739	301	15207	57.94	92.6	2.01	GUT_GENOME246790	MGYG000002993	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__CAG-170;s__CAG-170_sp000432135	ERS1066671	ERP013933	USA	North America	Human	gut	NA	High	yes	sp000432135
287	MGYG000064406	2360060	189	20994	59	93.29	2.24	GUT_GENOME218713	MGYG000002993	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__CAG-170;s__CAG-170_sp000432135	SRS1170842	SRP066479	Peru	South America	Human	gut	NA	High	yes	sp000432135
288	MGYG000064750	2535781	154	24882	60.75	93.29	0.73	GUT_GENOME126701	MGYG000000651	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__CAG-170;s__CAG-170_sp002404795	ERS1069680	ERP013827	Netherlands	Europe	Human	gut	NA	High	yes	sp002404795
289	MGYG000065554	3055120	316	14460	57.64	90.77	2.68	GUT_GENOME002708	MGYG000002993	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__CAG-170;s__CAG-170_sp000432135	ERS473072	ERP005989	Sweden	Europe	Human	gut	NA	High	yes	sp000432135
293	MGYG000066557	2409258	214	16500	59.28	94.15	3.5	GUT_GENOME124180	MGYG000002993	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__CAG-170;s__CAG-170_sp000432135	ERS1138916	ERP015450	China	Asia	Human	gut	NA	High	yes	sp000432135
295	MGYG000067045	2172350	311	11939	60.17	92.51	2.35	GUT_GENOME218035	MGYG000000741	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__CAG-170;s__CAG-170_sp900548625	SRS1170705	SRP066479	Peru	South America	Human	gut	NA	High	yes	sp900548625
296	MGYG000067586	2719666	92	58082	58.18	93.91	2.01	GUT_GENOME252207	MGYG000002993	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__CAG-170;s__CAG-170_sp000432135	ERS746885	ERP010700	UK	Europe	Human	gut	NA	High	yes	sp000432135
